title,artist,category,source_type,file_url,cover,original_filename,memory,youtube_source
Memories - Minningar úr Mýrdal,Hjördís Ásta,Aðallag,local,assets/Memories - Minningar úr Mýrdal - Hjördís Ásta.mp3,assets/photos/Image (56).jpg,Memories - Minningar úr Mýrdal - Hjördís Ásta.mp3,"Aðallagið hans Auðberts. Hér má bæta við persónulegri sögu, myndum og minningum.",
Nikka 4,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=12O7gEthdLGiKWWxJ5FNp5OnohP-nSXM2,assets/photos/Image (54).jpg,AV nikka4.wav,,
Shadows 2a,Auðbert Vigfússon,Shadows,drive,https://drive.google.com/uc?export=download&id=12TxfWOF_3pSslkrpRoysNptFfmi_Z5Nz,assets/photos/granit4.jpg,HV Shadows2a.wav,,
Shadows 2,Auðbert Vigfússon,Shadows,drive,https://drive.google.com/uc?export=download&id=13sgHU-JMh1AN4QMr6hwQkimTkaQMdQBq,assets/photos/granit3.jpg,Ö HV Shadows2.wav,,
Nikka 3,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=14tQXupcGPs-b_AChbHWesogj5gwhGdps,assets/photos/granit2.jpg,AV nikka3.wav,,
Shadows 4,Auðbert Vigfússon,Shadows,drive,https://drive.google.com/uc?export=download&id=18AN8UTl1W3VOV_CJdhYHAkVRzbSEGEFZ,assets/photos/granit1.jpg,HV Shadows4.wav,,
Down On The Corner,Auðbert Vigfússon,Gamlar perlur,drive,https://drive.google.com/uc?export=download&id=1Cr1BoT-nlBYLRtphglV4Othcsnaf6IZk,assets/photos/granit.jpg,G Down On The Corner.wav,,
Traustur vinur,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1G89DbqE9gogdjW9aOMknvb97uDZEeGOm,assets/photos/auðbert nikka.jpg,G Traustur vinur.wav,,
Midnight,Auðbert Vigfússon,Shadows,drive,https://drive.google.com/uc?export=download&id=1HtDqGAXKzmvTgys3q82ZEO7hOO1h4bmP,assets/photos/Image (56).jpg,Ö HV Midnight.wav,,
Spönsku augun,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1P9jltooQMnUgkocC4naAykCAp73SaItc,assets/photos/Image (54).jpg,AV Spönsku augun.wav,,
Brekknablús,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=1Rdm18XeWtuJGYRCdiiUOEJbxyaGoNwxL,assets/photos/granit4.jpg,HV Brekknablús.wav,,
Ég læðist oft upp á háaloft,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1SKVTWykDNc66mRKXdny-osZroOMFsoUm,assets/photos/granit3.jpg,G Ég læðist oft upp á háaloft.wav,,
Besti vinur,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1SzqEtitUUONm_6rdRAiNRpL8LQo1QzHr,assets/photos/granit2.jpg,G Besti vinur.wav,,
Nikka 5,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=1U8PkxTYnv4vZe7mnTw1j56Qqu7CvGwQh,assets/photos/granit1.jpg,AV nikka5.wav,,
Dead Flowers 2,Auðbert Vigfússon,Gamlar perlur,drive,https://drive.google.com/uc?export=download&id=1UKzSb3cEaIH7f9dqyLKjcoZuriMJPLce,assets/photos/granit.jpg,G Dead Flowers2.wav,,
Þú komst við hjartað í mér,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1WTcJnGM9dY5PHfw5eGbCRB7D2XnMjFEF,assets/photos/auðbert nikka.jpg,G Þú komst við hjartað í mér.wav,,
Down Under,Auðbert Vigfússon,Gamlar perlur,drive,https://drive.google.com/uc?export=download&id=1XNFr7OD77gzR4iWpZKfyxm6cguRMbhqh,assets/photos/Image (56).jpg,G Down Under.wav,,
Þjóðvegurinn,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1XnyRcV6eGh9Lhpx1DbO6vxKTPQGL4VdA,assets/photos/Image (54).jpg,G Þjóðvegurinn.wav,,
Nikka 2,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=1bRa9EbM1fYgR4VKIE9C105K_9FfMYq7S,assets/photos/granit4.jpg,AV nikka2.wav,,
Shadows 3,Auðbert Vigfússon,Shadows,drive,https://drive.google.com/uc?export=download&id=1c7G9Vkr4aY0Ce4hnvcMUyBivvPmNwDx4,assets/photos/granit3.jpg,HV Shadows3.wav,,
Það gefur á bátinn,Auðbert Vigfússon,Íslenskar perlur,drive,https://drive.google.com/uc?export=download&id=1dMgJH7dZWhn7X-OWKUJPuz_Cnq6SvduT,assets/photos/granit2.jpg,AV Það gefur á bátinn.wav,,
Nikka 1,Auðbert Vigfússon,Auðbert,drive,https://drive.google.com/uc?export=download&id=1dNtHn1zUU1QvnVnFJu6nUL6h4hqR3XGn,assets/photos/granit1.jpg,AV nikka1.wav,,
Have You Ever Seen The Rain,Auðbert Vigfússon,Gamlar perlur,drive,https://drive.google.com/uc?export=download&id=1eM4p2m0ckelJaBtPmRc4497AfF9UxLR3,assets/photos/granit.jpg,G Have You Ever Seen The Rain.wav,,
